user_id,quiz_id,overall_accuracy,mcq_accuracy,subjective_score,consistency,attempted_ratio,avg_time_spent,avg_difficulty
u7215,q7215,0.48,0.78,0.26,0.75,0.96,57.0,2
u8489,q8489,1.0,0.91,0.95,0.83,0.99,25.0,2
u6365,q6365,0.64,0.72,0.36,0.68,0.81,66.0,1
u1665,q1665,0.47,0.53,0.41,0.53,0.74,31.0,1
u3548,q3548,0.59,0.74,0.38,0.47,0.77,104.0,2
u6019,q6019,0.69,0.71,0.65,0.61,0.83,81.0,2
u5185,q5185,0.71,0.87,0.46,0.71,0.84,46.0,2
u2683,q2683,0.27,0.37,0.15,0.15,0.99,28.0,1
u7459,q7459,0.57,0.64,0.34,0.65,0.88,75.0,3
u7887,q7887,0.65,0.69,0.62,0.75,0.83,72.0,2
u743,q743,0.24,0.34,0.35,0.16,0.31,19.0,1
u2240,q2240,0.53,0.47,0.43,0.26,0.63,27.0,1
u6398,q6398,0.58,0.51,0.72,0.81,0.79,73.0,2
u1413,q1413,0.37,0.45,0.14,0.37,0.39,29.0,1
u789,q789,0.37,0.39,0.33,0.24,0.29,149.0,2
u4792,q4792,0.64,0.67,0.5,0.64,0.88,72.0,2
u7924,q7924,0.49,0.72,0.43,0.8,0.86,74.0,2
u9190,q9190,0.84,0.88,0.94,0.83,1.0,45.0,3
u9003,q9003,1.0,0.91,1.0,0.9,0.99,44.0,3
u7419,q7419,0.72,0.82,0.58,0.64,0.85,53.0,3
u2810,q2810,0.33,0.35,0.27,0.52,0.77,150.0,2
u4568,q4568,0.68,0.78,0.51,0.78,0.99,69.0,2
u4696,q4696,0.51,0.52,0.34,0.55,0.9,60.0,3
u3342,q3342,0.59,0.66,0.48,0.42,0.95,38.0,2
u8538,q8538,0.88,0.95,0.81,0.73,0.97,34.0,3
u8609,q8609,0.84,0.85,0.78,0.94,0.96,39.0,3
u6512,q6512,0.74,0.83,0.76,0.54,0.9,69.0,1
u4491,q4491,0.55,0.74,0.53,0.59,0.61,64.0,2
u630,q630,0.25,0.51,0.21,0.47,1.0,14.0,2
u6472,q6472,0.78,0.66,0.55,0.83,0.82,77.0,1
u4650,q4650,0.63,0.68,0.5,0.56,0.76,58.0,1
u3765,q3765,0.53,0.67,0.22,0.54,0.93,56.0,2
u2832,q2832,0.28,0.31,0.28,0.31,0.48,162.0,2
u7293,q7293,0.59,0.65,0.49,0.39,0.89,47.0,2
u4120,q4120,0.74,0.82,0.55,0.76,0.81,87.0,2
u9778,q9778,0.99,0.96,0.9,0.88,0.95,30.0,3
u1552,q1552,0.43,0.38,0.43,0.69,0.32,133.0,1
u9344,q9344,0.85,0.93,0.72,0.79,1.0,48.0,3
u9948,q9948,0.98,0.93,1.0,0.74,0.98,41.0,3
u6090,q6090,0.82,0.65,0.96,0.67,0.77,44.0,3
u6822,q6822,0.69,0.72,0.55,0.54,1.0,85.0,2
u4154,q4154,0.57,0.71,0.37,0.84,0.61,80.0,2
u1296,q1296,0.21,0.39,0.07,0.34,0.55,117.0,1
u6099,q6099,0.7,0.74,0.82,0.56,0.99,62.0,2
u5151,q5151,0.89,0.88,0.74,0.73,0.99,48.0,2
u9913,q9913,0.96,0.89,1.0,0.82,0.98,27.0,3
u995,q995,0.17,0.3,0.0,0.31,0.84,32.0,1
u9179,q9179,0.97,0.97,0.82,0.87,1.0,49.0,3
u9458,q9458,0.89,0.93,0.9,0.85,0.97,36.0,3
u8810,q8810,0.88,0.9,0.69,0.93,0.97,32.0,3
u8816,q8816,0.85,0.8,0.85,0.86,0.98,52.0,2
u3944,q3944,0.54,0.6,0.61,0.73,0.79,68.0,2
u6623,q6623,0.79,0.66,0.97,0.69,1.0,79.0,3
u9205,q9205,0.99,0.98,0.86,0.84,0.97,47.0,3
u1376,q1376,0.46,0.38,0.4,0.7,0.72,141.0,1
u7515,q7515,0.72,0.76,0.62,0.64,0.89,55.0,3
u7322,q7322,0.67,0.63,0.75,0.63,0.96,54.0,2
u3089,q3089,0.65,0.69,0.63,0.8,0.97,64.0,2
u8155,q8155,0.82,0.95,0.7,0.9,1.0,46.0,3
u838,q838,0.29,0.3,0.36,0.13,0.83,115.0,1
u8448,q8448,0.82,0.88,0.8,0.95,0.99,29.0,2
u9561,q9561,0.88,0.87,0.83,0.72,0.96,42.0,3
u5852,q5852,0.56,0.72,0.46,0.87,0.98,68.0,3
u1504,q1504,0.43,0.4,0.36,0.41,0.61,140.0,1
u6414,q6414,0.64,0.61,0.72,0.57,0.94,42.0,2
u2116,q2116,0.28,0.35,0.38,0.38,0.7,112.0,2
u6746,q6746,0.71,0.74,0.73,0.52,0.9,74.0,2
u6431,q6431,0.62,0.71,0.53,0.65,0.81,66.0,1
u3822,q3822,0.56,0.83,0.4,0.84,0.72,68.0,2
u441,q441,0.37,0.44,0.32,0.12,0.25,24.0,1
u8373,q8373,0.78,0.92,0.71,0.74,0.95,29.0,3
u9975,q9975,0.86,0.97,0.68,0.84,0.99,52.0,3
u4489,q4489,0.73,0.92,0.51,0.5,0.89,65.0,2
u3677,q3677,0.59,0.65,0.52,0.69,0.84,68.0,2
u4005,q4005,0.73,0.7,0.66,0.84,0.69,54.0,2
u5576,q5576,0.64,0.71,0.48,0.55,0.78,85.0,3
u6633,q6633,0.72,0.87,0.53,0.66,0.55,76.0,2
u7535,q7535,0.57,0.63,0.56,0.65,0.81,43.0,2
u8169,q8169,0.86,0.91,0.71,0.74,1.0,20.0,3
u4358,q4358,0.76,0.69,0.77,0.62,0.93,74.0,2
u6120,q6120,0.68,0.7,0.77,0.67,0.86,58.0,2
u9537,q9537,0.94,0.85,0.94,0.86,0.94,30.0,3
u5267,q5267,0.67,0.6,0.66,0.64,0.83,56.0,2
u7504,q7504,0.77,0.83,0.63,0.62,0.81,64.0,2
u7826,q7826,0.61,0.63,0.54,0.47,0.93,52.0,1
u6482,q6482,0.65,0.69,0.62,0.77,0.69,75.0,3
u664,q664,0.32,0.35,0.35,0.0,0.65,24.0,1
u7939,q7939,0.55,0.69,0.46,0.51,0.94,92.0,2
u422,q422,0.5,0.58,0.29,0.28,0.66,140.0,2
u4021,q4021,0.66,0.68,0.57,0.5,0.86,42.0,3
u4799,q4799,0.71,0.8,0.66,0.59,0.87,74.0,2
u2004,q2004,0.32,0.37,0.25,0.51,0.75,114.0,2
u5435,q5435,0.63,0.63,0.76,0.57,0.81,63.0,2
u8749,q8749,0.82,0.89,0.75,0.92,0.97,40.0,3
u5421,q5421,0.69,0.64,0.59,0.7,0.77,53.0,2
u4160,q4160,0.47,0.58,0.45,0.98,0.83,64.0,3
u6464,q6464,0.54,0.73,0.39,0.75,0.91,70.0,3
u6857,q6857,0.56,0.62,0.62,0.67,0.75,69.0,1
u2858,q2858,0.32,0.38,0.22,0.42,0.81,24.0,1
u3522,q3522,0.6,0.56,0.83,0.66,0.87,51.0,2
u5470,q5470,0.47,0.65,0.35,0.49,0.78,34.0,2
u6684,q6684,0.54,0.6,0.51,0.61,0.75,50.0,3
u7749,q7749,0.68,0.6,0.88,0.64,1.0,64.0,1
u8522,q8522,1.0,0.88,0.85,0.91,1.0,28.0,3
u2854,q2854,0.31,0.42,0.15,0.1,0.69,27.0,1
u6912,q6912,0.76,0.83,0.77,0.59,0.8,63.0,3
u1268,q1268,0.18,0.31,0.0,0.41,0.58,23.0,2
u6731,q6731,0.63,0.71,0.51,0.75,1.0,39.0,2
u3889,q3889,0.76,0.87,0.54,0.65,0.82,45.0,2
u4486,q4486,0.69,0.6,0.75,0.72,1.0,72.0,2
u3693,q3693,0.65,0.7,0.87,0.77,0.9,87.0,1
u1526,q1526,0.5,0.51,0.47,0.28,0.58,138.0,1
u9671,q9671,0.84,0.85,1.0,0.9,0.99,60.0,2
u679,q679,0.52,0.49,0.48,0.3,0.66,114.0,2
u2275,q2275,0.36,0.29,0.24,0.23,0.74,24.0,2
u7426,q7426,0.55,0.6,0.52,0.7,0.84,61.0,2
u2678,q2678,0.31,0.24,0.5,0.47,0.53,75.0,2
u4999,q4999,0.65,0.7,0.67,0.66,0.89,60.0,2
u1197,q1197,0.35,0.4,0.46,0.47,0.65,131.0,1
u2537,q2537,0.3,0.5,0.14,0.5,0.91,27.0,1
u1853,q1853,0.33,0.28,0.38,0.45,0.56,141.0,1
u4038,q4038,0.69,0.78,0.42,0.48,0.75,39.0,3
u3209,q3209,0.61,0.7,0.47,0.69,0.8,77.0,2
u1346,q1346,0.33,0.25,0.3,0.25,0.47,150.0,2
u1921,q1921,0.25,0.2,0.55,0.6,0.93,97.0,1
u9978,q9978,0.84,0.89,0.79,0.75,0.97,45.0,2
u2787,q2787,0.3,0.32,0.28,0.49,0.47,146.0,1
u9578,q9578,0.84,0.91,0.8,0.91,0.98,47.0,3
u7217,q7217,0.48,0.63,0.38,0.82,1.0,55.0,3
u4103,q4103,0.63,0.64,0.63,0.55,0.88,58.0,2
u8713,q8713,0.96,0.91,0.83,0.83,1.0,41.0,3
u7182,q7182,0.57,0.61,0.53,0.78,0.95,43.0,3
u4341,q4341,0.64,0.76,0.49,0.77,0.84,46.0,2
u2426,q2426,0.44,0.45,0.4,0.4,0.53,32.0,1
u970,q970,0.41,0.26,0.49,0.52,0.45,24.0,1
u9541,q9541,0.9,0.88,0.75,0.94,0.97,34.0,3
u1604,q1604,0.38,0.32,0.5,0.27,0.36,133.0,1
u6066,q6066,0.65,0.64,0.78,0.64,0.98,92.0,2
u1003,q1003,0.28,0.41,0.3,0.51,0.48,23.0,2
u1416,q1416,0.41,0.49,0.39,0.14,0.56,24.0,1
u5442,q5442,0.86,0.86,0.74,0.6,0.78,71.0,2
u1249,q1249,0.35,0.42,0.37,0.11,0.76,29.0,2
u67,q67,0.47,0.39,0.56,0.27,0.42,27.0,1
u9030,q9030,0.81,0.88,0.77,0.84,0.99,34.0,3
u5060,q5060,0.56,0.71,0.45,0.68,0.88,59.0,2
u2374,q2374,0.44,0.45,0.29,0.03,0.55,36.0,1
u5931,q5931,0.65,0.7,0.36,0.65,0.86,51.0,1
u8920,q8920,0.77,0.8,0.83,0.87,0.94,22.0,2
u3190,q3190,0.69,0.68,0.69,0.74,1.0,45.0,3
u9583,q9583,0.76,0.87,0.82,0.9,0.98,50.0,3
u5524,q5524,0.64,0.52,0.83,0.7,0.81,74.0,2
u6374,q6374,0.74,0.83,0.59,0.67,0.87,49.0,2
u8318,q8318,0.9,0.86,0.79,0.82,0.98,35.0,3
u5810,q5810,0.71,0.88,0.56,0.63,0.84,52.0,1
u1954,q1954,0.43,0.33,0.45,0.19,0.66,25.0,1
u8623,q8623,0.93,0.82,0.98,0.8,0.97,44.0,2
u1994,q1994,0.43,0.47,0.39,0.54,0.52,15.0,2
u4551,q4551,0.47,0.64,0.34,0.72,0.92,60.0,1
u4190,q4190,0.56,0.65,0.57,0.6,0.92,76.0,2
u2818,q2818,0.38,0.44,0.33,0.41,0.68,152.0,1
u8726,q8726,0.83,0.92,0.82,0.87,0.98,33.0,2
u5182,q5182,0.77,0.77,0.56,0.7,0.78,58.0,2
u1358,q1358,0.4,0.44,0.25,0.37,0.2,26.0,2
u7949,q7949,0.7,0.69,0.83,0.64,0.82,52.0,3
u1985,q1985,0.42,0.5,0.38,0.44,0.79,28.0,2
u7694,q7694,0.54,0.53,0.38,0.48,0.68,57.0,2
u800,q800,0.27,0.4,0.15,0.58,0.36,121.0,1
u2202,q2202,0.43,0.38,0.22,0.59,0.31,133.0,1
u242,q242,0.52,0.39,0.73,0.26,0.59,102.0,1
u4428,q4428,0.7,0.76,0.72,0.77,0.9,47.0,2
u4388,q4388,0.56,0.61,0.56,0.78,0.99,70.0,1
u1287,q1287,0.21,0.22,0.23,0.56,0.58,153.0,1
u4501,q4501,0.74,0.74,0.67,0.86,0.85,58.0,2
u3788,q3788,0.72,0.77,0.56,0.59,0.82,48.0,2
u1641,q1641,0.28,0.4,0.42,0.09,0.65,25.0,1
u8368,q8368,0.9,0.94,0.88,0.88,0.97,33.0,3
u6798,q6798,0.56,0.72,0.49,0.71,0.89,63.0,2
u8337,q8337,0.94,0.94,0.81,0.85,1.0,41.0,2
u4804,q4804,0.71,0.76,0.78,0.58,0.92,76.0,1
u8485,q8485,0.9,0.82,0.98,0.86,0.94,45.0,3
u7731,q7731,0.76,0.82,0.62,0.69,0.94,71.0,3
u3003,q3003,0.68,0.7,0.71,0.84,0.83,71.0,2
u6687,q6687,0.6,0.73,0.56,0.7,0.8,63.0,1
u4536,q4536,0.66,0.74,0.6,0.57,0.95,65.0,2
u6480,q6480,0.7,0.69,0.79,0.47,0.74,50.0,2
u8213,q8213,0.97,0.94,1.0,0.84,0.98,37.0,3
u9124,q9124,0.82,0.94,0.7,0.8,1.0,45.0,3
u1840,q1840,0.28,0.38,0.2,0.35,0.48,19.0,1
u22,q22,0.31,0.38,0.23,0.46,0.92,24.0,1
u3598,q3598,0.75,0.7,0.64,0.65,0.74,56.0,1
u5740,q5740,0.7,0.68,0.65,0.52,0.92,68.0,3
u9964,q9964,0.86,1.0,0.86,0.83,1.0,51.0,3
u2012,q2012,0.34,0.32,0.41,0.46,0.57,148.0,2
u5812,q5812,0.57,0.74,0.33,0.57,0.88,67.0,2
u2280,q2280,0.4,0.45,0.31,0.57,0.4,135.0,1
u8109,q8109,0.83,0.9,0.76,0.82,0.99,44.0,3
u7894,q7894,0.69,0.61,0.65,0.65,0.75,53.0,2
u2903,q2903,0.22,0.34,0.28,0.25,0.15,28.0,1
u2680,q2680,0.23,0.37,0.23,0.16,0.41,21.0,2
u1521,q1521,0.43,0.52,0.23,0.55,0.52,21.0,1
u1468,q1468,0.5,0.44,0.36,0.34,0.83,148.0,2
u4426,q4426,0.71,0.75,0.92,0.61,0.89,65.0,2
u9609,q9609,0.94,1.0,0.79,0.85,0.99,29.0,3
u6004,q6004,0.79,0.78,0.71,0.64,0.94,55.0,2
u6156,q6156,0.59,0.57,0.53,0.46,1.0,53.0,1
u1023,q1023,0.33,0.4,0.02,0.32,0.87,23.0,2
u3454,q3454,0.72,0.74,0.87,0.7,0.97,34.0,3
u1894,q1894,0.36,0.39,0.28,0.25,0.7,128.0,2
u4140,q4140,0.44,0.59,0.6,0.58,0.84,77.0,1
u1273,q1273,0.15,0.29,0.1,0.54,0.99,25.0,1
u6100,q6100,0.56,0.71,0.36,0.61,0.69,38.0,1
u2592,q2592,0.39,0.35,0.26,0.15,0.37,28.0,1
u6360,q6360,0.63,0.71,0.55,0.46,0.95,17.0,2
u8353,q8353,0.89,0.96,0.81,0.74,0.97,60.0,3
u803,q803,0.28,0.41,0.12,0.05,1.0,137.0,1
u9092,q9092,0.96,0.92,0.97,0.79,1.0,25.0,2
u7870,q7870,0.59,0.46,0.76,0.49,0.65,37.0,3
u7935,q7935,0.67,0.72,0.59,0.43,0.65,63.0,2
u4603,q4603,0.63,0.61,0.79,0.59,0.86,73.0,2
u2611,q2611,0.44,0.47,0.4,0.33,0.73,26.0,1
u4430,q4430,0.59,0.54,0.35,0.49,0.77,77.0,1
u5748,q5748,0.75,0.82,0.7,0.69,0.87,79.0,3
u5283,q5283,0.58,0.64,0.51,0.73,0.9,62.0,2
u5980,q5980,0.26,0.39,0.25,0.54,0.79,53.0,2
u4284,q4284,0.51,0.53,0.67,0.66,0.7,50.0,2
u2927,q2927,0.41,0.39,0.4,0.2,1.0,147.0,1
u3695,q3695,0.51,0.75,0.32,0.7,0.96,61.0,2
u546,q546,0.38,0.32,0.35,0.34,0.57,120.0,2
u8635,q8635,0.78,0.85,0.83,0.96,0.95,43.0,2
u5910,q5910,0.71,0.89,0.45,0.58,0.81,75.0,2
u1858,q1858,0.44,0.37,0.44,0.27,0.34,25.0,1
u8220,q8220,0.89,0.86,0.9,0.86,0.99,44.0,2
u7443,q7443,0.55,0.6,0.67,0.67,0.9,73.0,1
u6243,q6243,0.52,0.72,0.42,0.7,0.89,42.0,2
u711,q711,0.25,0.42,0.08,0.56,0.39,21.0,1
u3616,q3616,0.63,0.57,0.78,0.71,0.93,34.0,2
u8162,q8162,0.83,0.86,0.84,0.93,1.0,39.0,2
u5896,q5896,0.69,0.7,0.54,0.39,1.0,63.0,1
u426,q426,0.51,0.54,0.46,0.48,0.6,26.0,1
u6418,q6418,0.7,0.89,0.48,0.85,0.81,55.0,3
u5570,q5570,0.57,0.62,0.46,0.6,0.96,69.0,2
u4336,q4336,0.72,0.71,0.61,0.77,0.92,60.0,3
u1561,q1561,0.3,0.4,0.14,0.17,0.51,26.0,1
u7567,q7567,0.75,0.77,0.85,0.61,0.84,73.0,2
u4673,q4673,0.58,0.66,0.62,0.64,0.82,67.0,2
u6226,q6226,0.58,0.68,0.46,0.54,0.86,79.0,3
u2,q2,0.31,0.39,0.17,0.31,0.81,120.0,1
u1410,q1410,0.47,0.37,0.43,0.58,0.64,146.0,2
u6308,q6308,0.83,0.82,0.72,0.64,0.73,68.0,2
u9150,q9150,0.92,0.97,0.94,0.88,1.0,33.0,3
u1442,q1442,0.51,0.52,0.33,0.82,0.49,27.0,2
u2077,q2077,0.36,0.46,0.31,0.39,0.49,154.0,1
u5054,q5054,0.8,0.6,0.73,0.7,0.86,49.0,1
u5723,q5723,0.47,0.53,0.63,0.51,0.88,46.0,2
u5420,q5420,0.72,0.54,0.9,0.75,0.84,54.0,2
u4793,q4793,0.59,0.68,0.48,0.73,0.97,33.0,2
u8733,q8733,0.89,0.84,0.95,0.93,0.95,46.0,3
u6357,q6357,0.74,0.84,0.57,0.7,0.87,53.0,2
u1220,q1220,0.43,0.61,0.03,0.14,0.7,119.0,2
u7998,q7998,0.74,0.82,0.65,0.58,0.88,39.0,1
u6096,q6096,0.65,0.71,0.54,0.75,0.96,68.0,1
u2665,q2665,0.3,0.45,0.23,0.35,0.62,32.0,1
u985,q985,0.43,0.4,0.34,0.21,0.36,163.0,1
u6550,q6550,0.7,0.7,0.59,0.79,0.86,62.0,2
u8215,q8215,0.86,0.84,0.93,0.91,1.0,27.0,2
u7705,q7705,0.58,0.7,0.4,0.67,0.89,41.0,2
u7995,q7995,0.74,0.75,0.54,0.66,0.76,72.0,2
u7157,q7157,0.4,0.57,0.41,0.72,0.81,49.0,1
u7080,q7080,0.74,0.69,0.84,0.85,0.89,48.0,2
u8251,q8251,0.78,0.86,0.8,0.84,1.0,40.0,3
u3283,q3283,0.66,0.76,0.57,0.7,0.71,59.0,1
u7797,q7797,0.71,0.7,0.67,0.45,1.0,60.0,2
u6503,q6503,0.67,0.76,0.7,0.69,0.9,67.0,2
u819,q819,0.3,0.41,0.24,0.4,0.38,131.0,1
u1751,q1751,0.29,0.13,0.47,0.4,0.67,26.0,1
u5083,q5083,0.77,0.83,0.81,0.57,0.85,61.0,2
u1908,q1908,0.24,0.29,0.13,0.36,0.67,160.0,1
u21,q21,0.53,0.55,0.48,0.44,0.64,159.0,2
u1332,q1332,0.32,0.52,0.13,0.51,0.49,136.0,2
u1048,q1048,0.52,0.24,0.72,0.39,0.64,30.0,1
u2576,q2576,0.15,0.29,0.01,0.46,0.67,22.0,2
u8199,q8199,0.76,0.85,0.7,0.85,1.0,39.0,2
u9415,q9415,0.92,0.94,0.8,0.81,0.93,28.0,3
u7714,q7714,0.74,0.78,0.77,0.51,0.77,58.0,1
u9649,q9649,0.82,0.88,0.79,0.85,1.0,40.0,2
u9642,q9642,0.85,0.9,0.86,0.84,1.0,34.0,3
u544,q544,0.45,0.54,0.14,0.37,0.49,136.0,1
u3383,q3383,0.58,0.66,0.46,0.57,0.92,73.0,2
u2229,q2229,0.31,0.21,0.39,0.36,0.55,25.0,1
u6064,q6064,0.58,0.58,0.61,0.61,0.83,68.0,2
u9623,q9623,0.97,0.97,1.0,0.84,0.94,39.0,3
u9569,q9569,0.77,0.86,0.72,0.81,0.95,46.0,2
u1070,q1070,0.39,0.43,0.46,0.09,0.53,125.0,2
u3350,q3350,0.7,0.8,0.67,0.67,0.9,48.0,2
u7355,q7355,0.63,0.65,0.67,0.65,0.78,47.0,2
u7904,q7904,0.57,0.62,0.47,0.78,0.98,87.0,2
u4776,q4776,0.76,0.7,0.79,0.67,0.65,75.0,2
u2942,q2942,0.36,0.35,0.42,0.68,0.76,33.0,1
u765,q765,0.54,0.51,0.33,0.08,0.63,36.0,1
u3949,q3949,0.68,0.76,0.36,0.63,0.91,60.0,3
u9528,q9528,0.87,0.86,0.89,0.9,1.0,31.0,3
u9029,q9029,0.89,0.91,0.99,0.86,1.0,28.0,3
u8897,q8897,0.85,0.84,0.91,0.86,0.99,38.0,3
u3820,q3820,0.78,0.88,0.62,0.74,0.71,76.0,3
u7198,q7198,0.87,0.77,0.85,0.66,0.82,57.0,1
u9703,q9703,0.77,0.78,0.92,0.79,0.97,55.0,2
u7079,q7079,0.67,0.72,0.49,0.66,0.78,67.0,3
u4966,q4966,0.83,0.79,0.7,0.66,0.72,74.0,2
u3199,q3199,0.65,0.74,0.42,0.69,0.77,51.0,1
u4249,q4249,0.58,0.51,0.75,0.78,0.74,34.0,2
u1174,q1174,0.33,0.39,0.16,0.49,0.67,152.0,1
u3913,q3913,0.72,0.71,0.82,0.67,1.0,97.0,3
u9729,q9729,0.76,0.86,0.74,0.85,0.96,42.0,3
u1343,q1343,0.53,0.44,0.59,0.53,0.47,28.0,1
u5891,q5891,0.62,0.72,0.46,0.56,0.75,51.0,2
u6903,q6903,0.73,0.8,0.48,0.64,0.98,73.0,2
u3071,q3071,0.55,0.62,0.42,0.61,0.82,57.0,2
u9915,q9915,0.9,0.91,0.88,0.85,0.98,27.0,3
u1073,q1073,0.17,0.41,0.07,0.19,0.8,29.0,2
u4437,q4437,0.49,0.63,0.55,0.63,0.82,52.0,2
u8476,q8476,0.85,0.92,0.83,0.96,1.0,36.0,2
u7560,q7560,0.61,0.49,0.63,0.58,0.79,53.0,1
